Date,Period,ReportType,Demand,TCL,USEP,LCP,Regulation,PrimaryReserve,ContingencyReserve,EHEUR,Solar
2024-04-15,25,REP,6933.851,0.000,181.8,0.00,41.1,.5,43.1,-0.75,409.47
2024-04-15,26,REP,6873.967,0.000,181.06,0.00,38,.5,40,-0.74,511.39
2024-04-15,27,REP,6874.663,0.000,153.68,0.00,33.33,.05,23.38,-0.61,582.87
2024-04-15,28,REP,6989.425,0.000,181.13,0.00,35,1.5,40,-0.77,535.18
2024-04-15,29,REP,6977.651,0.000,174.17,0.00,43.44,.5,35.44,-0.74,592.96
2024-04-15,30,REP,6987.9,0.000,180.87,0.00,33.33,.5,25,-0.79,547.33
2024-04-15,31,REP,6959.272,0.000,151.69,0.00,33.33,.05,24.68,-0.63,509.68
2024-04-15,32,REP,7028.082,0.000,170.77,0.00,33.33,.05,25,-0.78,461.58
2024-04-15,33,REP,7269.38,0.000,171.45,0.00,34.95,.05,35,-0.79,247.01
2024-04-15,34,REP,7293.674,0.000,176.52,0.00,34.95,.05,35,-0.82,219.9
2024-04-15,35,REP,7382.806,0.000,184.48,0.00,33.38,.05,32.1,-0.85,127.66
2024-04-15,36,REP,7251.841,0.000,176.92,0.00,33.33,.05,25,-0.83,159.5
2024-04-15,37,REP,7206.699,0.000,184.48,0.00,45.43,.05,35.44,-0.87,74.52
2024-04-15,38,REP,7201.053,0.000,184.82,0.00,44.44,.05,34.45,-0.81,39.06
2024-04-15,39,REP,7212.186,0.000,184.5,0.00,44.44,.05,32.1,-0.80,2.14
2024-04-15,40,REP,7242.532,0.000,184.94,0.00,35,.05,25.05,-0.77,0
2024-04-15,41,REP,7262.736,0.000,184.94,0.00,35,.05,25.05,-0.80,0
2024-04-15,42,REP,7239.466,0.000,185,0.00,49.99,.05,45.28,-0.80,0
2024-04-15,43,REP,7191.496,0.000,184.89,0.00,30.01,.05,40,-0.81,0
2024-04-15,44,REP,7084.263,0.000,184.56,0.00,33.33,.5,42.37,-0.81,0
2024-04-15,45,REP,6938.607,0.000,180.49,0.00,30,.5,35,-0.79,0
2024-04-15,46,REP,6779.015,0.000,170.56,0.00,30,.5,32.1,-0.73,0
2024-04-15,47,REP,6641.093,0.000,142.14,0.00,18.22,.01,22.33,-0.57,0
2024-04-15,48,REP,6403.681,0.000,122.69,0.00,10,.01,5.64,-0.48,0
2024-04-16,1,REP,6146.851,0.000,110.7,0.00,10,.01,.01,-0.43,0
2024-04-16,2,REP,6012.303,0.000,99.83,0.00,10,.01,.01,-0.38,0
2024-04-16,3,REP,6035.329,0.000,112.06,0.00,10,.01,.01,-0.43,0
2024-04-16,4,REP,5945.805,0.000,109.53,0.00,15,.01,.01,-0.40,0
2024-04-16,5,REP,5895.195,0.000,107.57,0.00,10.5,.01,.01,-0.39,0
2024-04-16,6,REP,5848.577,0.000,100.75,0.00,15,.01,.01,-0.36,0
2024-04-16,7,REP,5810.054,0.000,95.5,0.00,10.5,.01,.01,-0.33,0
2024-04-16,8,REP,5800.333,0.000,100.75,0.00,10.5,.01,.01,-0.35,0
2024-04-16,9,REP,5794.747,0.000,99.79,0.00,10.5,.01,.01,-0.35,0
2024-04-16,10,REP,5828.741,0.000,107.13,0.00,10.5,.01,.01,-0.37,0
2024-04-16,11,REP,5916.392,0.000,107.57,0.00,10,.01,.01,-0.38,0
2024-04-16,12,REP,6076.402,0.000,122.63,0.00,10,.01,.01,-0.44,0
2024-04-16,13,REP,6253.259,0.000,123.47,0.00,10,.01,.01,-0.45,0
2024-04-16,14,REP,6433.496,0.000,132.82,0.00,15,.01,9.23,-0.52,0
2024-04-16,15,REP,6648.066,0.000,171.21,0.00,35,.01,20.99,-0.70,3.87
2024-04-16,16,REP,6894.155,0.000,176.05,0.00,32.75,.01,44.13,-0.71,12.41
2024-04-16,17,REP,7090.222,0.000,180.94,0.00,32.66,.01,43.99,-0.75,37.03
2024-04-16,18,REP,7211.828,0.000,181.77,0.00,35,.01,37,-0.78,52.91
2024-04-16,19,REP,7270.275,0.000,231.22,0.00,43.01,.01,49.84,-1.05,56.37
2024-04-16,20,REP,7284.956,0.000,231.25,0.00,44,.01,50,-1.05,90.21
2024-04-16,21,REP,7292.034,0.000,231.21,0.00,35.44,.01,50,-1.08,96.64
2024-04-16,22,REP,7331.297,0.000,231.26,0.00,35,.01,50,-1.07,82.9
2024-04-16,23,REP,7281.244,0.000,231.32,0.00,22.22,.01,50,-1.10,134.8
2024-04-16,24,REP,7215.352,0.000,196.22,0.00,35,.01,45,-0.90,145.93
2024-04-16,25,REP,7148.972,0.000,191.01,0.00,35,.01,45,-0.87,156.43
2024-04-16,26,REP,7166.894,0.000,191.51,0.00,35,.05,45,-0.87,167.29
2024-04-16,27,REP,7208.727,0.000,191.66,0.00,35,.01,45,-0.83,190.31
2024-04-16,28,REP,7186.565,0.000,191.05,0.00,35,.01,45,-0.87,240.91
2024-04-16,29,REP,7166.213,0.000,191.01,0.00,22.22,.01,45,-0.89,231.66
2024-04-16,30,REP,7165.985,0.000,191.01,0.00,35,.01,45,-0.85,166.66
2024-04-16,31,REP,7160.746,0.000,191,0.00,35,.01,45,-0.88,129.5
2024-04-16,32,REP,7216.589,0.000,191.03,0.00,35,.01,45,-0.90,76.54
2024-04-16,33,REP,7228.184,0.000,203.28,0.00,35,.01,45,-0.97,70.45
2024-04-16,34,REP,7227.155,0.000,198.11,0.00,35,.01,44.5,-0.90,68.54
2024-04-16,35,REP,7143.858,0.000,181.86,0.00,30.1,.01,32.1,-0.83,103.45
2024-04-16,36,REP,7050.427,0.000,175.98,0.00,28.98,.05,29.8,-0.80,89.8
2024-04-16,37,REP,6970.306,0.000,168.54,0.00,37,.05,30.15,-0.75,66.32
2024-04-16,38,REP,6982.582,0.000,168.55,0.00,35.44,.05,29.8,-0.75,34.11
2024-04-16,39,REP,7015.195,0.000,168.94,0.00,35.44,.05,27.44,-0.73,1.6
2024-04-16,40,REP,7043.106,0.000,170.29,0.00,35,.05,29.8,-0.71,0
2024-04-16,41,REP,7069.964,0.000,175.86,0.00,35,.05,29.8,-0.77,0
2024-04-16,42,REP,7053.404,0.000,175.87,0.00,35,.05,32.1,-0.78,0
2024-04-16,43,REP,6980.648,0.000,171.11,0.00,19.86,.05,29.8,-0.81,0
2024-04-16,44,REP,6868.639,0.000,168.47,0.00,20.73,.05,31.11,-0.80,0
2024-04-16,45,REP,6726.751,0.000,145.39,0.00,15.65,.05,19.47,-0.62,0
2024-04-16,46,REP,6595.115,0.000,135.48,0.00,10.89,.01,12.34,-0.55,0
2024-04-16,47,REP,6454.136,0.000,122.7,0.00,9.8,.05,12,-0.49,0
2024-04-16,48,REP,6270.565,0.000,111.49,0.00,9.8,.01,.01,-0.44,0
